ax,ay,az,gx,gy,gz
-1.3861 , -9.6551 , -1.0051 , 0.0021 , -0.0222 , -0.0091
-1.4556 , -9.7485 , -1.0434 , -0.0059 , -0.0068 , -0.0022
-1.4245 , -9.7294 , -0.9644 , -0.0224 , -0.0105 , -0.0102
-1.458 , -9.7413 , -1.0243 , 0.0399 , -0.0089 , -0.0123
-1.3646 , -9.6814 , -1.0147 , 0.0026 , 0.0278 , 0.017
-1.3574 , -9.7461 , -0.9141 , -0.007 , -0.0009 , -0.0144
-1.3646 , -9.6934 , -1.0243 , 0.0069 , 0.0055 , 0.0042
-1.3358 , -9.7389 , -1.0147 , 0.0074 , -0.0057 , -0.0043
-1.4412 , -9.7246 , -1.0003 , -0.0123 , 0.006 , -0.0086
-1.3215 , -9.7701 , -1.0003 , 0.0138 , 0.0246 , 0.0074
-1.3143 , -9.7365 , -0.8614 , 0.017 , -0.0297 , -0.0107
-1.4341 , -9.7294 , -1.0147 , -0.0113 , 0.0811 , 0.0154
-1.2879 , -9.7605 , -0.9332 , -0.0123 , -0.0611 , -0.016
-1.4317 , -9.6958 , -0.9692 , 0.0015 , 0.0433 , 0.0149
-1.3287 , -9.7318 , -0.9524 , 0.0053 , -0.0654 , -0.0171
-1.3143 , -9.7629 , -1.0338 , 0.0085 , 0.0236 , 0.0106
-1.379 , -9.7461 , -0.8949 , 0.0005 , -0.0084 , -0.0038
-1.2831 , -9.7581 , -0.9332 , 0.0047 , 0.0193 , 0.0053
-1.3646 , -9.6838 , -1.0458 , 0.0106 , -0.0286 , -0.0022
-1.2807 , -9.7222 , -0.9452 , -0.0027 , 0.0129 , 0.0074
-1.3574 , -9.6479 , -0.9332 , -0.0017 , 0.0273 , 0.0015
-1.2328 , -9.7892 , -0.9572 , 0.0191 , 0.0204 , 0.0058
-1.379 , -9.703 , -1.0123 , -0.0097 , -0.0148 , 0.0015
-1.3167 , -9.7797 , -0.9476 , 0.0127 , -0.0036 , -0.0027
-1.331 , -9.7126 , -0.9524 , -0.0208 , 0.023 , 0.0015
-1.3885 , -9.7461 , -1.0147 , 0.0159 , 0.0076 , -0.0032
-1.3622 , -9.7126 , -0.9716 , -0.0091 , 0.0284 , 0.0026
-1.3287 , -9.7341 , -0.9404 , 0.0063 , -0.0196 , -0.0048
-1.2927 , -9.7485 , -0.8997 , -0.0102 , 0.0539 , -0.0123
-1.3885 , -9.7294 , -1.065 , 0.0303 , -0.0031 , 0.017
-1.3694 , -9.7437 , -0.9189 , -0.0091 , -0.067 , -0.0272
-1.4341 , -9.7294 , -1.0362 , -0.0107 , -0.0142 , -0.0011
-1.3047 , -9.7365 , -0.9811 , 0.0159 , 0.0087 , -0.0054
-1.446 , -9.7389 , -1.0171 , 0.0005 , 0.055 , -0.0016
-1.2855 , -9.7246 , -0.9931 , -0.0086 , 0.0007 , -0.007
-1.3814 , -9.703 , -1.0099 , 0.0021 , -0.0515 , -0.0075
-1.3718 , -9.7246 , -0.9716 , -0.0006 , 0.0129 , 0.0042
-1.3071 , -9.7102 , -1.0602 , 0.009 , 0.0167 , -0.0011
-1.3406 , -9.7533 , -1.0195 , -0.0203 , 0.0246 , -0.0016
-1.3909 , -9.7246 , -0.8039 , 0.0175 , -0.018 , -0.0038
-1.3358 , -9.7365 , -0.9021 , 0.0021 , -0.0116 , -0.0027
-1.2951 , -9.7485 , -1.0434 , 0.0015 , 0.0076 , -0.0032
