ax,ay,az,gx,gy,gz
3.3617 , -3.1681 , 8.7589 , 0.0021 , 0.0061 , -0.0014
3.3809 , -3.1274 , 8.7756 , 0.0079 , 0.0167 , 0.0007
3.3473 , -3.1705 , 8.7828 , 0.0047 , 0.0056 , 0.0023
3.3976 , -3.1514 , 8.7732 , -0.0011 , -0.0003 , -0.0025
3.5294 , -3.149 , 8.7277 , 0.0005 , -0.0046 , 0.0013
3.388 , -3.1298 , 8.7972 , 0.0063 , 0.0135 , 0.0002
3.321 , -3.1466 , 8.7852 , -0.0011 , 0.004 , 0.0055
3.4072 , -3.1059 , 8.7373 , 0.0031 , 0.0034 , -0.0019
3.4048 , -3.1442 , 8.7397 , 0.0036 , 0.004 , 0.0018
3.3689 , -3.1801 , 8.7397 , 0.0031 , 0.0072 , -0.0073
3.4096 , -3.1035 , 8.7684 , -0.0001 , -0.0051 , -0.0009
3.3521 , -3.149 , 8.778 , -0.0011 , 0.0109 , 0.0087
3.4048 , -3.1298 , 8.7876 , -0.0001 , 0.0146 , 0.0076
3.3665 , -3.1154 , 8.7445 , 0.0058 , 0.0093 , -0.003
3.3377 , -3.0891 , 8.7637 , -0.0033 , -0.0008 , 0.0013
3.285 , -3.1154 , 8.7684 , 0.0074 , 0.0072 , -0.0051
3.4072 , -3.125 , 8.8044 , 0.0052 , 0.0146 , -0.0035
3.297 , -3.0987 , 8.7852 , -0.0027 , 0.0034 , 0.0039
3.4 , -3.125 , 8.8427 , 0.0015 , -0.0046 , 0.0018
3.4288 , -3.1106 , 8.79 , 0.0036 , 0.0077 , -0.0051
3.2946 , -3.1562 , 8.814 , 0.0015 , 0.005 , 0.0023
3.3473 , -3.1274 , 8.7828 , 0.0031 , 0.005 , -0.003
3.3329 , -3.0819 , 8.7804 , 0.0031 , 0.0002 , -0.0003
3.3593 , -3.1298 , 8.814 , 0.0063 , 0.0114 , -0.0003
3.3258 , -3.1442 , 8.8331 , 0.0031 , 0.0056 , 0.005
3.2994 , -3.1202 , 8.8499 , 0.0052 , 0.0114 , 0.0029
3.3449 , -3.1729 , 8.8235 , -0.0001 , 0.0061 , -0.0009
3.3162 , -3.1106 , 8.7732 , 0.001 , 0.0024 , -0.0003
3.3425 , -3.125 , 8.778 , 0.0005 , -0.0008 , -0.0003
3.309 , -3.1154 , 8.814 , 0.0005 , 0.0045 , 0.0013
3.3018 , -3.0867 , 8.7517 , -0.0011 , 0.0008 , 0.0007
3.3282 , -3.1681 , 8.8068 , -0.0059 , 0.0018 , 0.005
3.3042 , -3.1154 , 8.7972 , -0.0017 , -0.0008 , -0.0009
3.297 , -3.0843 , 8.8499 , -0.0011 , -0.0019 , -0.0009
3.2946 , -3.0891 , 8.7924 , 0.001 , -0.0014 , 0.0034
3.2779 , -3.0867 , 8.79 , -0.0006 , 0.004 , 0.0013
3.3234 , -3.1298 , 8.7828 , -0.0033 , -0.0056 , 0.0007
3.3018 , -3.0747 , 8.8355 , 0.0021 , -0.0046 , 0.0045
3.3114 , -3.0651 , 8.8188 , -0.0017 , 0.0029 , 0.0007
3.3162 , -3.0963 , 8.8235 , 0.0015 , 0.0104 , 0.0071
3.2683 , -3.1202 , 8.8307 , -0.0038 , 0.0013 , -0.0009
3.2539 , -3.1562 , 8.7924 , -0.0038 , 0.0002 , 0.0034
3.285 , -3.0939 , 8.8068 , -0.0027 , 0.0061 , 0.0013
3.2874 , -3.1154 , 8.7876 , 0.0015 , 0.0008 , -0.0009
3.3042 , -3.1178 , 8.8116 , -0.0017 , -0.0094 , -0.0041
3.3521 , -3.149 , 8.814 , 0.0068 , 0.0034 , 0.0007
3.2874 , -3.1202 , 8.7756 , -0.0006 , 0.0061 , -0.0041
3.3521 , -3.1753 , 8.7996 , 0.0063 , 0.004 , -0.0035
3.2898 , -3.1202 , 8.8164 , -0.0027 , 0.0013 , -0.0014
3.3449 , -3.1322 , 8.7589 , 0.0031 , -0.0083 , -0.0046
3.2874 , -3.1274 , 8.8092 , 0.0021 , -0.0078 , 0.0029
3.2874 , -3.1633 , 8.7996 , 0.0074 , 0.0178 , 0.0045
3.2946 , -3.1346 , 8.7948 , 0.0074 , 0.0135 , 0.0066
3.3306 , -3.1777 , 8.7876 , 0.0036 , -0.004 , 0.0039
3.3329 , -3.1418 , 8.7756 , 0.001 , 0.0061 , 0.0002
3.2922 , -3.1346 , 8.8092 , 0.0031 , 0.0077 , 0.0092
3.3497 , -3.113 , 8.802 , 0.0052 , 0.0066 , 0.0023
3.3234 , -3.1322 , 8.802 , -0.0022 , -0.0046 , -0.0014
3.3162 , -3.1274 , 8.8283 , 0.0026 , -0.004 , 0.0002
3.3761 , -3.0963 , 8.7565 , 0.0031 , 0.0018 , -0.0067
3.3042 , -3.1274 , 8.8092 , -0.0043 , -0.0019 , -0.0147
3.285 , -3.1586 , 8.8044 , -0.0027 , -0.004 , 0.0087
3.3809 , -3.1562 , 8.7397 , 0.0036 , 0.029 , -0.0014
3.3761 , -3.1394 , 8.7589 , 0.0026 , 0.0056 , 0.0076
3.2515 , -3.125 , 8.7708 , -0.0033 , 0.005 , -0.0211
3.2946 , -3.1059 , 8.8283 , -0.0075 , 0.0077 , -0.0264
3.3353 , -3.1538 , 8.7852 , 0.0052 , 0.0146 , -0.0035
3.2779 , -3.1418 , 8.7996 , 0.0005 , -0.004 , -0.0003
3.3018 , -3.149 , 8.7876 , 0.0015 , -0.0008 , 0.013
3.3114 , -3.125 , 8.7732 , 0.0026 , -0.0008 , 0.0172
3.3833 , -3.1681 , 8.7469 , 0.0015 , 0.0002 , -0.0014
3.2443 , -3.0939 , 8.8188 , 0.0005 , -0.0088 , 0.0002
3.2539 , -3.1442 , 8.881 , 0.0031 , 0.0056 , -0.0051
3.2707 , -3.1753 , 8.7756 , -0.0001 , 0.0045 , 0.0076
3.3018 , -3.0987 , 8.6702 , -0.0049 , 0.0109 , -0.0078
3.2611 , -3.1346 , 8.8307 , -0.0075 , -0.036 , -0.0057
3.2395 , -3.0987 , 8.8403 , -0.0033 , 0.0008 , -0.0019
3.2922 , -3.1035 , 8.7972 , 0.0079 , 0.0221 , 0.0108
3.3282 , -3.1466 , 8.8188 , 0.0058 , 0.0056 , 0.0002
3.2395 , -3.125 , 8.79 , -0.0027 , -0.0147 , -0.0035
3.3042 , -3.113 , 8.8164 , 0.0015 , 0.0045 , -0.0009
3.3066 , -3.1442 , 8.8523 , 0.0026 , 0.0125 , 0.0034
3.3593 , -3.1346 , 8.7661 , 0.0021 , -0.0014 , -0.003
3.2275 , -3.1466 , 8.8211 , -0.0001 , -0.004 , 0.0007
3.2779 , -3.1538 , 8.8307 , 0.0036 , 0.0072 , 0.0007
3.4048 , -3.1753 , 8.6942 , 0.0036 , 0.0008 , 0.0023
3.3234 , -3.1226 , 8.7924 , -0.0001 , -0.0024 , -0.003
3.2659 , -3.1562 , 8.7708 , -0.0006 , -0.004 , 0.0007
3.3186 , -3.1394 , 8.7421 , 0.0036 , 0.005 , -0.0014
3.3952 , -3.0819 , 8.7924 , 0.0005 , 0.0013 , -0.0003
3.2659 , -3.137 , 8.8235 , 0.0005 , 0.004 , 0.0018
3.2204 , -3.113 , 8.8307 , -0.0001 , -0.0003 , -0.0014
3.3353 , -3.1538 , 8.8235 , -0.0017 , 0.0045 , -0.0046
3.321 , -3.1322 , 8.8259 , -0.0001 , -0.0019 , -0.0009
3.2874 , -3.1106 , 8.8092 , 0.001 , 0.0013 , 0.0018
3.297 , -3.1059 , 8.7325 , 0.001 , 0.0034 , -0.0009
3.297 , -3.1059 , 8.8068 , 0.0026 , 0.0024 , 0.0029
3.3018 , -3.1322 , 8.7948 , 0.0047 , 0.0066 , 0.0002
3.2443 , -3.1298 , 8.8499 , -0.0027 , 0.0002 , 0.0007
3.3282 , -3.1418 , 8.814 , 0.0021 , 0.0018 , 0.0007
