activity,ax,ay,az,gx,gy,gz
standing , 0.5614 , -9.8587 , -0.653 , -0.0317 , 0.0285 , 0.0079
standing , 0.5135 , -9.8611 , -0.6075 , 0.02 , 0.0013 , 0.0132
standing , 0.3745 , -9.8563 , -0.5955 , -0.0109 , 0.0098 , 0.0036
standing , 0.4656 , -9.8491 , -0.5619 , 0.0109 , -0.0152 , 0.0031
standing , 0.4392 , -9.8204 , -0.5691 , -0.0194 , 0.0173 , -0.0001
standing , 0.4105 , -9.8132 , -0.6146 , -0.0061 , -0.0008 , 0.0063
standing , 0.4727 , -9.8419 , -0.6889 , -0.0019 , -0.0003 , -0.0007
standing , 0.3745 , -9.8491 , -0.6027 , 0.0077 , -0.0072 , -0.0156
standing , 0.5254 , -9.8539 , -0.6218 , -0.0083 , 0.013 , 0.0105
standing , 0.4799 , -9.8491 , -0.6027 , 0.0035 , 0.0178 , -0.0166
standing , 0.4704 , -9.8372 , -0.653 , -0.0045 , -0.0024 , 0.0057
standing , 0.4488 , -9.8491 , -0.6817 , -0.0189 , -0.0008 , -0.0124
standing , 0.3793 , -9.8108 , -0.7009 , 0.0114 , 0.0002 , -0.0054
standing , 0.4799 , -9.8012 , -0.5739 , -0.0024 , -0.0109 , 0.002
standing , 0.4895 , -9.8587 , -0.6506 , 0.0296 , -0.0317 , 0.0068
standing , 0.4248 , -9.7988 , -0.6602 , -0.0093 , 0.0258 , -0.0033
standing , 0.4105 , -9.8252 , -0.6841 , -0.0104 , -0.0045 , 0.0121
standing , 0.6213 , -9.8731 , -0.6242 , 0.0045 , 0.0013 , -0.0081
standing , 0.3602 , -9.8539 , -0.6386 , 0.0051 , 0.0354 , -0.022
standing , 0.4751 , -9.8276 , -0.5332 , -0.0008 , 0.0253 , -0.0012
standing , 0.4871 , -9.8228 , -0.5835 , -0.0008 , 0.0168 , -0.0092
standing , 0.5278 , -9.8348 , -0.5859 , -0.0194 , 0.0082 , -0.0108
standing , 0.5015 , -9.8635 , -0.6913 , 0.0679 , -0.0152 , 0.0089
standing , 0.4344 , -9.8563 , -0.6051 , 0.0354 , 0.0381 , -0.007
standing , 0.5398 , -9.8228 , -0.7009 , -0.0423 , -0.0035 , -0.0145
standing , 0.3721 , -9.8036 , -0.6098 , 0.0264 , 0.1803 , -0.0209
standing , 0.5901 , -9.83 , -0.526 , -0.069 , 0.0013 , -0.0033
standing , 0.5111 , -9.8491 , -0.629 , 0.07 , -0.0269 , 0.0068
standing , 0.5207 , -9.8228 , -0.7009 , -0.0072 , 0.0125 , -0.0177
standing , 0.5662 , -9.8132 , -0.5835 , 0.012 , -0.0834 , 0.0031
standing , 0.5494 , -9.9042 , -0.5643 , 0.0525 , -0.0717 , 0.0169
standing , 0.4727 , -9.8156 , -0.4422 , -0.0274 , 0.0338 , -0.0321
standing , 0.5925 , -9.7868 , -0.6793 , -0.0216 , 0.0327 , 0.0148
standing , 0.5015 , -9.8419 , -0.4038 , -0.0077 , 0.0146 , -0.0012
standing , 0.5925 , -9.8204 , -0.526 , -0.0099 , 0.0674 , 0.0015
standing , 0.5925 , -9.8922 , -0.6122 , -0.0306 , 0.0349 , 0.018
standing , 0.5566 , -9.8204 , -0.2409 , 0.0003 , 0.0333 , 0.0057
standing , 0.662 , -9.8707 , -0.6913 , -0.0205 , 0.0024 , 0.0052
standing , 0.5039 , -9.8084 , -0.3847 , 0.0626 , -0.0056 , 0.0191
standing , 0.5326 , -9.7318 , -0.4589 , -0.0386 , -0.0466 , 0.0052
standing , 0.6668 , -9.8731 , -0.72 , 0.0114 , -0.028 , 0.0137
standing , 0.4368 , -9.7916 , -0.6386 , -0.0168 , -0.0147 , 0.0372
standing , 0.7123 , -9.8443 , -0.435 , -0.0338 , -0.053 , -0.0012
standing , 0.6237 , -9.7797 , -0.5188 , 0.02 , 0.004 , -0.0081
standing , 0.5254 , -9.8467 , -0.5308 , 0.0194 , 0.0157 , -0.023
standing , 0.5853 , -9.8276 , -0.4278 , -0.0194 , 0.0168 , -0.0023
standing , 0.5734 , -9.8324 , -0.5308 , 0.0269 , -0.0211 , -0.0092
standing , 0.5542 , -9.8539 , -0.435 , 0.0194 , 0.004 , 0.0047
standing , 0.5566 , -9.8515 , -0.6506 , -0.0051 , -0.0115 , 0.0025
standing , 0.5159 , -9.806 , -0.4589 , 0.0178 , 0.012 , 0.0132
standing , 0.4871 , -9.7725 , -0.5404 , -0.0045 , -0.0003 , -0.0081
standing , 0.5997 , -9.8946 , -0.5476 , -0.0248 , -0.0003 , 0.0015
standing , 0.5087 , -9.8156 , -0.4589 , 0.0077 , -0.0019 , -0.0081
standing , 0.5853 , -9.8348 , -0.538 , -0.028 , -0.0237 , -0.0108
standing , 0.468 , -9.7845 , -0.6362 , 0.0221 , 0.0018 , 0.0009
standing , 0.4727 , -9.8491 , -0.4997 , -0.0152 , -0.0354 , 0.0095
standing , 0.5135 , -9.8827 , -0.5068 , 0.004 , -0.0067 , 0.0031
standing , 0.5614 , -9.8108 , -0.4877 , -0.0125 , -0.0232 , 0.0079
standing , 0.535 , -9.8587 , -0.411 , -0.0136 , -0.0051 , 0.0041
standing , 0.5494 , -9.818 , -0.4877 , 0.0061 , -0.0141 , 0.0025
standing , 0.5087 , -9.8324 , -0.538 , -0.0226 , 0.0157 , -0.0007
standing , 0.5614 , -9.8372 , -0.332 , -0.0045 , 0.0178 , 0.0073
standing , 0.5302 , -9.8276 , -0.5667 , -0.0147 , 0.0178 , -0.0038
standing , 0.4871 , -9.8611 , -0.423 , -0.0131 , 0.0066 , 0.0079
standing , 0.559 , -9.9138 , -0.4949 , 0.0051 , -0.0035 , 0.0084
standing , 0.6045 , -9.8108 , -0.5524 , 0.0045 , 0.0109 , 0.018
standing , 0.5039 , -9.8372 , -0.5068 , -0.0232 , 0.0301 , -0.0028
standing , 0.6356 , -9.8659 , -0.4613 , -0.0019 , 0.0407 , 0.0116
standing , 0.5566 , -9.8803 , -0.5955 , -0.012 , 0.0588 , 0.0004
standing , 0.5925 , -9.83 , -0.447 , -0.0274 , 0.0482 , -0.0065
standing , 0.5853 , -9.818 , -0.6338 , 0.0114 , 0.0168 , -0.0113
standing , 0.4727 , -9.8132 , -0.5619 , 0.0024 , 0.0285 , 0.0004
standing , 0.5829 , -9.8635 , -0.6122 , -0.0035 , -0.003 , -0.0044
standing , 0.4919 , -9.8228 , -0.5092 , 0.0008 , 0.0221 , -0.0065
standing , 0.5039 , -9.8899 , -0.6146 , -0.0072 , 0.0205 , -0.0054
standing , 0.5518 , -9.8204 , -0.5883 , 0.0141 , 0.0008 , 0.002
standing , 0.4799 , -9.806 , -0.6506 , 0.0019 , -0.012 , -0.0028
standing , 0.4943 , -9.7964 , -0.5428 , -0.0088 , -0.003 , 0.0084
standing , 0.6045 , -9.8348 , -0.5787 , 0.0024 , -0.012 , 0.0025
standing , 0.4416 , -9.8395 , -0.6266 , -0.0178 , 0.0072 , -0.0033
standing , 0.4033 , -9.8731 , -0.4973 , 0.0024 , 0.0205 , 0.0121
standing , 0.4584 , -9.83 , -0.6051 , -0.0104 , -0.012 , -0.0204
standing , 0.4775 , -9.8587 , -0.5548 , 0.0114 , -0.0147 , 0.0121
standing , 0.5063 , -9.8108 , -0.5667 , -0.0221 , -0.0008 , -0.0038
standing , 0.5159 , -9.8324 , -0.6266 , 0.0173 , 0.0194 , -0.0038
standing , 0.4248 , -9.818 , -0.538 , -0.004 , 0.013 , 0.0015
standing , 0.5734 , -9.8276 , -0.5739 , -0.0131 , 0.0034 , 0.0169
standing , 0.4991 , -9.8324 , -0.6314 , 0.0104 , -0.0131 , -0.0134
standing , 0.5566 , -9.83 , -0.5859 , 0.013 , -0.0104 , 0.0036
standing , 0.547 , -9.8395 , -0.5955 , 0.0083 , -0.0109 , -0.0023
standing , 0.4751 , -9.7773 , -0.5787 , -0.0067 , -0.0045 , -0.0033
standing , 0.5446 , -9.8635 , -0.5883 , -0.0061 , -0.0051 , 0.0015
standing , 0.444 , -9.7964 , -0.5979 , 0.0035 , -0.0024 , 0.01
standing , 0.5183 , -9.8084 , -0.6242 , -0.0147 , -0.0035 , 0.0068
standing , 0.6189 , -9.8324 , -0.5428 , 0.0136 , 0.0008 , -0.0001
standing , 0.5254 , -9.8755 , -0.6386 , -0.012 , -0.0014 , -0.0012
standing , 0.4488 , -9.8012 , -0.6194 , 0.0077 , 0.0029 , 0.0025
standing , 0.638 , -9.7916 , -0.5284 , -0.0232 , 0.0141 , -0.0108
standing , 0.4991 , -9.8084 , -0.5308 , 0.02 , -0.0216 , 0.0223
standing , 0.559 , -9.8276 , -0.5883 , -0.0029 , -0.0109 , -0.0065
standing , 0.547 , -9.8156 , -0.5931 , -0.0051 , 0.0136 , 0.0041
standing , 0.4823 , -9.8324 , -0.5763 , -0.0072 , 0.0024 , 0.0015
standing , 0.5422 , -9.8395 , -0.5452 , 0.0301 , -0.0338 , 0.0041
standing , 0.5374 , -9.8204 , -0.6554 , -0.0072 , 0.0109 , -0.0108
standing , 0.5542 , -9.7988 , -0.4901 , -0.012 , -0.003 , 0.0089
standing , 0.5111 , -9.8419 , -0.6434 , 0.0088 , -0.0152 , -0.0076
standing , 0.559 , -9.8036 , -0.5164 , 0.0067 , -0.0061 , -0.0007
standing , 0.5278 , -9.8372 , -0.6075 , -0.0152 , 0.004 , 0.0036
standing , 0.468 , -9.8635 , -0.5212 , 0.0051 , -0.0072 , -0.0017
standing , 0.6069 , -9.83 , -0.6194 , -0.0104 , 0.013 , -0.0086
standing , 0.4799 , -9.8228 , -0.6098 , -0.0221 , 0.0002 , 0.0111
standing , 0.5853 , -9.8443 , -0.5356 , 0.0285 , 0.004 , 0.0063
standing , 0.4464 , -9.8515 , -0.5883 , -0.037 , 0.0168 , -0.0092
standing , 0.5231 , -9.8132 , -0.617 , 0.0146 , -0.0322 , 0.0052
standing , 0.4512 , -9.8348 , -0.6338 , 0.029 , -0.0131 , 0.0233
standing , 0.6548 , -9.8443 , -0.4446 , -0.0157 , 0.0082 , 0.0041
standing , 0.4057 , -9.8228 , -0.7057 , -0.0008 , -0.0248 , -0.0113
standing , 0.5207 , -9.8467 , -0.5524 , 0.0061 , -0.0104 , -0.007
standing , 0.5135 , -9.8515 , -0.5739 , 0.0061 , 0.0189 , 0.01
standing , 0.4416 , -9.83 , -0.6122 , -0.0216 , 0.0013 , -0.0124
standing , 0.5877 , -9.8084 , -0.5571 , 0.0445 , -0.0061 , 0.0164
standing , 0.5302 , -9.8036 , -0.5212 , -0.0221 , -0.0232 , 0.0036
standing , 0.468 , -9.8036 , -0.641 , 0.0077 , -0.0312 , 0.0004
standing , 0.5542 , -9.8443 , -0.6266 , -0.0301 , -0.0157 , 0.0052
standing , 0.4368 , -9.8467 , -0.5548 , 0.0152 , -0.0019 , -0.015
standing , 0.5805 , -9.8515 , -0.5883 , -0.0109 , -0.0083 , 0.002
standing , 0.547 , -9.8372 , -0.629 , 0.0024 , 0.0194 , -0.0054
standing , 0.4536 , -9.8419 , -0.5619 , -0.0051 , 0.0018 , 0.0079
standing , 0.4919 , -9.8276 , -0.6027 , -0.0104 , -0.0077 , 0.0015
standing , 0.5734 , -9.8419 , -0.5859 , 0.0178 , 0.0002 , -0.0166
standing , 0.4248 , -9.8539 , -0.6218 , -0.0184 , 0.0008 , 0.0031
standing , 0.4727 , -9.8515 , -0.6146 , 0.0226 , -0.0061 , -0.0033
standing , 0.5063 , -9.8276 , -0.6218 , -0.0168 , -0.0035 , -0.0017
standing , 0.4416 , -9.8156 , -0.5188 , 0.0136 , 0.0066 , 0.0041
standing , 0.5853 , -9.8443 , -0.5667 , -0.0157 , -0.004 , 0.0057
standing , 0.4584 , -9.8132 , -0.5571 , 0.0226 , 0.012 , -0.0097
standing , 0.468 , -9.8611 , -0.5859 , -0.0264 , 0.0109 , -0.0038
standing , 0.5781 , -9.8419 , -0.5188 , 0.013 , -0.0147 , 0.002
standing , 0.4296 , -9.8084 , -0.6218 , -0.0104 , 0.0104 , -0.0081
standing , 0.5135 , -9.83 , -0.5428 , -0.0045 , -0.0003 , 0.0009
standing , 0.5183 , -9.8563 , -0.5476 , 0.0013 , -0.0211 , 0.0004
standing , 0.5302 , -9.8443 , -0.5619 , 0.0205 , -0.0088 , -0.0065
standing , 0.4919 , -9.8372 , -0.6027 , -0.021 , 0.0253 , -0.0012
standing , 0.5159 , -9.8395 , -0.5667 , 0.0051 , 0.0072 , 0.0052
standing , 0.5494 , -9.8156 , -0.5643 , -0.0083 , 0.0045 , -0.0001
standing , 0.4584 , -9.8467 , -0.6122 , -0.0003 , 0.0088 , 0.0036
standing , 0.6069 , -9.8204 , -0.5571 , -0.0067 , -0.0115 , 0.0079
standing , 0.432 , -9.794 , -0.6697 , 0.0024 , -0.0003 , -0.0145
standing , 0.5063 , -9.8419 , -0.4685 , 0.0072 , 0.004 , 0.01
standing , 0.5638 , -9.8156 , -0.6027 , 0.0093 , -0.012 , 0.0308
