activity,ax,ay,az,gx,gy,gz
walking , 4.9667 , -11.1786 , 0.3795 , -0.0983 , 1.93 , -1.3296
walking , 1.6992 , -9.9953 , -0.4326 , -0.2453 , 0.0045 , -0.8742
walking , -0.4902 , -8.3735 , -0.6506 , 0.0652 , -0.2528 , -0.3554
walking , 0.2092 , -9.3101 , -2.7969 , -0.4424 , 0.0817 , 0.1618
walking , 1.0692 , -9.9258 , -1.477 , -0.1883 , 0.7821 , 0.1868
walking , 1.6537 , -9.6695 , 0.1902 , -0.6133 , 0.1126 , 0.4516
walking , 1.292 , -9.7581 , -0.6098 , -0.5366 , 0.5936 , 0.3791
walking , 1.2561 , -9.5808 , -1.3309 , -0.1169 , 0.4397 , 0.5586
walking , 0.9518 , -9.6407 , -0.9213 , -0.3321 , 1.1907 , 0.2188
walking , 2.1472 , -10.9463 , -1.6255 , -0.5691 , -1.9449 , 0.2699
walking , 1.3878 , -9.7821 , 0.7795 , -0.306 , -0.5505 , 0.1959
walking , 0.6452 , -10.7834 , 0.5879 , 0.2746 , -0.6363 , 0.2305
walking , -1.652 , -14.1227 , 0.861 , 0.1547 , -0.7529 , 0.2241
walking , 1.7783 , -8.6706 , 1.2347 , 0.3593 , 0.4205 , 0.6428
walking , 0.4129 , -8.9245 , 1.067 , -1.6983 , -1.2174 , -0.3927
walking , 2.3628 , -8.1651 , 1.0478 , 0.7561 , 2.7598 , -1.8201
walking , 5.0745 , -9.2982 , 1.5748 , -1.0421 , -0.9265 , -0.6798
walking , 2.4059 , -9.5952 , 2.6911 , -0.1057 , 1.1209 , -0.577
walking , 2.4634 , -12.3069 , -2.5694 , -0.4818 , -0.3204 , -0.0529
walking , -0.3226 , -9.7797 , -0.0038 , -0.3262 , 0.9579 , 0.2342
walking , 1.0477 , -10.2204 , -1.3405 , -0.3918 , 0.7678 , 0.1495
walking , 1.1339 , -9.5593 , -0.5811 , -0.8631 , -0.2639 , 0.5836
walking , 1.304 , -9.5665 , 0.195 , -0.6384 , 1.4575 , 0.4063
walking , 1.4645 , -9.4515 , -0.4565 , 0.4429 , 0.7939 , 0.2396
walking , 1.4908 , -10.0839 , -1.0099 , -0.1249 , -1.1444 , 0.0052
walking , 1.8717 , -10.757 , -2.1741 , -0.583 , -1.7058 , 0.3035
walking , 0.959 , -9.4155 , 1.4646 , -0.0844 , -0.159 , 0.1501
walking , 0.4871 , -10.5917 , -8.0837 , 0.2053 , 0.8301 , 0.2449
walking , -0.8975 , -8.2801 , -2.1477 , -0.0658 , -0.8051 , 0.255
walking , -0.7681 , -9.061 , 0.5663 , 0.2016 , 0.3784 , 0.3067
walking , -0.1716 , -8.2801 , 0.9999 , -0.3678 , -2.7487 , -0.4465
walking , 3.9606 , -8.8909 , 1.5102 , 0.6064 , 3.6056 , -1.6129
walking , 3.812 , -9.4443 , 1.0287 , -0.8573 , -0.8775 , -0.594
walking , 0.5398 , -14.712 , 1.0143 , -0.371 , 1.8021 , -0.3229
walking , -0.3657 , -6.1266 , -1.6016 , -0.24 , 0.8652 , -0.0678
walking , 0.9518 , -9.5569 , -0.7751 , 0.0013 , 1.6748 , 0.0372
walking , 1.9484 , -9.6647 , -2.0064 , -0.1558 , 2.3934 , 0.197
walking , 0.7913 , -9.7174 , -0.2577 , -0.8445 , 1.4682 , -0.0875
walking , 1.1291 , -10.2156 , -0.0565 , -0.2922 , 1.3702 , 0.7472
walking , 1.6298 , -9.4251 , -1.2758 , -0.4589 , 2.6522 , 0.2678
walking , 1.5315 , -9.4898 , -0.72 , -0.2698 , 2.4722 , 0.0473
walking , 1.9532 , -9.5545 , -0.7656 , -0.4695 , 0.3086 , 0.0318
walking , 1.4285 , -11.9979 , 0.5352 , -0.2581 , 0.8828 , -0.0241
walking , 0.9327 , -9.9449 , 3.2517 , 0.1776 , 1.6684 , 0.1048
walking , 0.4488 , -14.2951 , -0.2098 , -0.1196 , 1.4447 , 0.1304
walking , 1.4238 , -8.7137 , 1.3377 , 0.2011 , 1.8096 , 0.059
walking , 0.9782 , -9.7365 , 0.9807 , 0.1489 , 0.682 , -0.1242
walking , 3.6036 , -9.2527 , 1.2706 , 0.3033 , 0.5435 , 0.0633
walking , 3.1365 , -9.1616 , 0.9951 , 1.049 , 1.5667 , 0.2641
walking , 0.9854 , -8.5819 , 0.3028 , 0.33 , 0.3193 , -0.7208
walking , -2.1479 , -13.9119 , 0.552 , -0.6565 , -0.1212 , -1.1959
walking , 1.2585 , -8.5244 , -0.4206 , -0.6304 , 1.4383 , -0.8209
walking , 1.5148 , -8.9939 , -1.0578 , -0.135 , 1.441 , -0.6031
walking , 1.2992 , -9.2287 , -0.2553 , -0.2804 , 0.9606 , -0.2829
walking , 0.9878 , -10.048 , -0.5571 , -0.4866 , 1.2429 , 0.3557
walking , 0.571 , -9.9521 , -0.8997 , -0.6906 , 0.7081 , 0.5069
walking , 0.9782 , -9.7126 , -1.604 , -1.2813 , -0.1553 , 0.7056
walking , 1.2177 , -9.8563 , -1.3764 , 0.2953 , 1.8511 , 0.5043
walking , 1.3112 , -10.1486 , -0.7799 , 0.1771 , 0.4684 , 0.2539
walking , 0.4057 , -9.7126 , -0.0469 , -0.2432 , -0.9697 , 0.0196
walking , 0.6021 , -10.5151 , -0.5955 , -0.4051 , -0.3673 , 0.1756
walking , 3.436 , -8.867 , 0.5304 , 0.1478 , -0.8983 , 0.3871
walking , 3.4839 , -9.4563 , -6.1458 , 0.1174 , -0.0024 , 0.4814
walking , 0.42 , -10.4959 , 0.7915 , 0.2724 , 1.041 , 0.6571
walking , 0.3793 , -10.1198 , 0.9448 , -1.1721 , -1.1534 , -0.6201
walking , -0.1141 , -9.2287 , 1.4766 , 0.4402 , 2.1659 , -1.7402
walking , 2.0082 , -8.9484 , -0.4014 , -0.5958 , -2.1548 , -1.1112
walking , 2.5999 , -8.7568 , 0.6909 , 0.1308 , -0.2836 , -0.7048
walking , 2.8035 , -8.5172 , 2.121 , -0.2959 , -0.2139 , 0.0404
walking , 1.1603 , -9.0898 , -1.3285 , -0.102 , 1.1582 , 0.4761
walking , 1.1123 , -10.8241 , -1.2279 , -0.5292 , 0.5915 , 0.4356
walking , 1.637 , -9.7389 , -1.5321 , -0.6746 , -0.5047 , 0.442
walking , 0.8728 , -9.5066 , -0.7057 , -0.5515 , 0.8759 , 0.4654
walking , 0.9039 , -9.9186 , -0.2697 , 0.0328 , 0.5744 , 0.1378
walking , 0.7866 , -9.7078 , -0.823 , -0.2139 , -1.4613 , 0.1352
walking , 1.4908 , -10.6061 , -1.0674 , -0.4189 , -0.9159 , 0.222
walking , 2.7317 , -11.0588 , -1.0195 , 0.0599 , -0.2426 , 0.1266
walking , -0.8615 , -8.8766 , 18.1515 , 0.3427 , -1.7548 , 0.3147
walking , 0.6165 , -12.9441 , -2.4136 , 0.4482 , 0.5078 , 0.6859
walking , 1.2106 , -8.8526 , 5.7478 , -1.938 , -0.3071 , 0.2055
walking , 0.0176 , -8.4478 , 1.2203 , 1.1635 , 0.7646 , -2.5216
walking , 1.383 , -8.1675 , -0.2338 , -0.8019 , -0.7902 , -0.7517
