activity,ax,ay,az,gx,gy,gz
walking , -3.7337 , -12.9752 , -4.0138 , 2.3454 , -1.702 , -3.0153
walking , 0.7602 , -8.5915 , 2.7582 , -0.9292 , -1.6706 , -0.7581
walking , -0.2555 , -8.7161 , 1.6826 , -0.1728 , 0.9957 , -0.4944
walking , 2.8203 , -9.1089 , 1.2011 , -0.0983 , 0.5552 , 0.0121
walking , 3.5509 , -9.5401 , 0.7412 , -0.273 , 0.2634 , 0.3344
walking , 1.4836 , -12.6231 , 0.3939 , -0.1318 , 1.3675 , 0.3301
walking , 1.5124 , -8.3424 , -0.6386 , -0.8088 , -0.2362 , 0.0436
walking , -0.8352 , -10.1198 , 1.8048 , 0.9436 , 2.2352 , 0.1453
walking , -0.7226 , -9.0802 , -5.1038 , 0.7523 , -1.6477 , 0.3818
walking , 0.9375 , -10.1102 , -0.3128 , -0.1414 , 0.7076 , 0.3914
walking , 1.637 , -9.9905 , 0.437 , -0.5116 , 0.1494 , 0.4995
walking , 1.6298 , -9.8012 , 0.1495 , -0.4791 , -0.436 , 0.2566
walking , 1.4741 , -9.83 , -0.7823 , 0.1387 , -0.7881 , 0.2497
walking , 2.5664 , -10.8313 , -1.3908 , 0.0775 , -0.2192 , 0.3024
walking , -0.7801 , -10.0456 , 4.8279 , 0.0988 , 1.6477 , -0.7463
walking , -0.2195 , -10.2372 , -11.1931 , 2.0466 , -7.8252 , -1.2987
walking , 1.4333 , -8.6538 , -1.0937 , -0.0706 , 5.0666 , -0.6941
walking , -0.852 , -9.1329 , 0.334 , -0.6799 , -0.5691 , -0.52
walking , 3.2204 , -9.7413 , 0.3723 , 0.0775 , 2.3955 , 0.5485
walking , 1.1123 , -8.6945 , -1.3956 , -0.1505 , 2.1318 , 0.0936
walking , -2.2341 , -11.0014 , -0.2074 , -0.5414 , 1.4927 , -0.2084
walking , 2.1568 , -9.4155 , 0.6598 , -1.0022 , 0.9893 , 0.6124
walking , 1.0716 , -9.6958 , -1.3596 , 0.7049 , 2.4956 , 0.6374
walking , 2.6431 , -11.9236 , -2.4687 , -0.274 , 2.9366 , 0.4617
walking , -0.3537 , -9.6192 , 0.413 , -0.1313 , 2.5531 , -0.1264
walking , 0.0344 , -9.9114 , -0.3152 , 0.8754 , 2.3651 , -0.0646
walking , -0.8999 , -9.3796 , -4.0378 , -0.0626 , -0.591 , -0.0246
walking , -0.392 , -9.7006 , -0.8159 , -0.0099 , 2.5723 , 0.2369
walking , 1.1052 , -9.5976 , -0.6218 , 0.1803 , 2.2511 , 0.3567
walking , 1.6346 , -11.9212 , 17.5215 , -0.2373 , 1.8677 , 0.0798
walking , 1.9675 , -10.0839 , -0.4422 , 1.629 , 2.7657 , -0.014
walking , 2.3915 , -8.3975 , -4.1456 , 0.0802 , 1.5348 , -0.7229
walking , 0.0056 , -11.5499 , -0.7057 , -0.9196 , 1.5497 , -1.7573
walking , -3.3456 , -10.8552 , 3.8026 , -0.3965 , 2.5745 , -1.3189
walking , 0.9638 , -8.5436 , 0.0561 , -0.583 , -0.2607 , -0.4822
walking , 0.7626 , -8.3544 , -2.0567 , -0.3129 , 1.1832 , 0.3472
