activity,ax,ay,az,gx,gy,gz
sitting , 7.3406 , -1.9201 , 6.2772 , -0.0002 , 0.0129 , 0.0066
sitting , 7.3909 , -1.9441 , 6.2772 , 0.0024 , 0.0123 , 0.0071
sitting , 7.3286 , -1.8794 , 6.2867 , -0.0045 , -0.0058 , 0.006
sitting , 7.2711 , -1.9249 , 6.234 , -0.0024 , 0.0017 , 0.0097
sitting , 7.3047 , -1.8794 , 6.2819 , -0.0088 , 0.0086 , -0.0009
sitting , 7.3957 , -1.9129 , 6.2532 , 0.0045 , 0.0091 , -0.0004
sitting , 7.3166 , -1.8985 , 6.3155 , 0.0088 , -0.0058 , -0.0004
sitting , 7.4268 , -1.968 , 6.2795 , -0.0034 , 0.0139 , -0.0004
sitting , 7.3454 , -1.9225 , 6.3466 , 0.0003 , 0.0155 , 0.0044
sitting , 7.3166 , -1.9345 , 6.2891 , 0.004 , -0.0042 , 0.0012
sitting , 7.3502 , -1.9225 , 6.2508 , 0.0019 , 0.0145 , -0.0073
sitting , 7.307 , -1.9944 , 6.3011 , -0.004 , 0.0006 , -0.003
sitting , 7.2999 , -1.9393 , 6.2532 , 0.0072 , 0.0155 , 0.0028
sitting , 7.3478 , -1.9225 , 6.3251 , -0.0008 , 0.0086 , 0.0018
sitting , 7.3574 , -1.9105 , 6.2508 , 0.0014 , 0.0102 , 0.0044
sitting , 7.3142 , -1.9848 , 6.2987 , -0.0018 , 0.0118 , 0.005
sitting , 7.2999 , -1.9656 , 6.337 , 0.0008 , 0.0166 , 0.0066
sitting , 7.2999 , -1.992 , 6.2221 , -0.0056 , -0.0095 , 0.0034
sitting , 7.3334 , -1.9321 , 6.3203 , 0.0051 , 0.0054 , -0.0041
sitting , 7.3597 , -1.9776 , 6.2843 , -0.0013 , 0.0022 , -0.0009
sitting , 7.2711 , -1.9632 , 6.3083 , 0.0051 , 0.0134 , -0.0014
sitting , 7.3861 , -1.9776 , 6.2532 , 0.0003 , 0.0017 , -0.0009
sitting , 7.3957 , -1.9129 , 6.2604 , 0.0077 , 0.0097 , -0.0004
sitting , 7.3861 , -1.9417 , 6.3059 , -0.0002 , 0.0054 , 0.0012
sitting , 7.3238 , -1.9584 , 6.3035 , 0.004 , 0.0129 , -0.0009
sitting , 7.3669 , -1.98 , 6.2436 , -0.0024 , 0.0065 , 0.0002
sitting , 7.3118 , -1.9632 , 6.2843 , 0.0061 , 0.0155 , 0.0028
sitting , 7.3358 , -2.0111 , 6.2604 , -0.0018 , 0.0075 , -0.0009
sitting , 7.2951 , -1.956 , 6.2867 , 0.0045 , 0.0107 , -0.0004
sitting , 7.3597 , -1.9776 , 6.2364 , -0.0029 , 0.0043 , -0.003
sitting , 7.3693 , -1.968 , 6.3035 , 0.0051 , 0.0129 , 0.0007
sitting , 7.3262 , -1.968 , 6.2628 , -0.0002 , 0.0038 , -0.0041
sitting , 7.3238 , -1.9608 , 6.3346 , 0.0061 , 0.0065 , 0.0012
sitting , 7.3574 , -1.968 , 6.2843 , -0.0013 , 0.0027 , 0.0081
sitting , 7.3454 , -1.9105 , 6.3155 , -0.0034 , 0.0198 , 0.005
sitting , 7.3238 , -1.9417 , 6.2436 , -0.0066 , 0.0145 , 0.0071
sitting , 7.3478 , -1.9369 , 6.2676 , 0.0024 , 0.0161 , 0.0023
sitting , 7.3047 , -1.9991 , 6.27 , 0.0061 , -0.0084 , -0.01
sitting , 7.3478 , -1.9872 , 6.2843 , 0.0088 , 0.0097 , -0.0089
sitting , 7.3406 , -1.9848 , 6.258 , 0.0045 , 0.0075 , -0.0078
sitting , 7.331 , -2.0183 , 6.2772 , 0.0109 , 0.0006 , -0.0068
sitting , 7.3478 , -1.992 , 6.2221 , 0.0008 , -0.0068 , 0.0028
sitting , 7.3118 , -1.9944 , 6.2628 , -0.0045 , 0.0134 , 0.0145
sitting , 7.3214 , -1.98 , 6.2532 , -0.0045 , 0.0145 , 0.0135
sitting , 7.3214 , -1.9393 , 6.2772 , -0.0008 , 0.0107 , 0.006
sitting , 7.3837 , -1.9896 , 6.3251 , -0.0002 , 0.0054 , 0.0018
