activity,ax,ay,az,gx,gy,gz
sitting , 9.6331 , -1.3332 , 0.4825 , 0.0077 , 0.0091 , 0.0167
sitting , 9.6666 , -1.3428 , 0.4801 , 0.0029 , 0.032 , 0.0311
sitting , 9.6283 , -1.3643 , 0.516 , 0.0035 , 0.0086 , 0.0236
sitting , 9.6402 , -1.3212 , 0.504 , 0.004 , -0.0068 , 0.0161
sitting , 9.6355 , -1.3116 , 0.4921 , 0.0008 , 0.024 , 0.014
sitting , 9.6331 , -1.3452 , 0.4418 , 0.0008 , 0.0097 , 0.0034
sitting , 9.657 , -1.3691 , 0.4993 , 0.0045 , 0.0219 , 0.006
sitting , 9.6594 , -1.3596 , 0.5256 , 0.0029 , 0.0075 , -0.0025
sitting , 9.6378 , -1.3356 , 0.4681 , 0.0029 , -0.002 , 0.005
sitting , 9.6115 , -1.3428 , 0.4346 , 0.0029 , 0.0166 , 0.0044
sitting , 9.5923 , -1.3476 , 0.4921 , 0.0019 , -0.001 , 0.0002
sitting , 9.6139 , -1.4075 , 0.5424 , 0.0024 , 0.0182 , 0.0023
sitting , 9.6283 , -1.4027 , 0.516 , -0.0008 , 0.0166 , -0.0025
sitting , 9.6714 , -1.465 , 0.449 , 0.0024 , 0.0171 , -0.0052
sitting , 9.6307 , -1.429 , 0.5232 , 0.0029 , 0.0059 , 0.0034
sitting , 9.645 , -1.4554 , 0.5112 , 0.0056 , 0.0107 , 0.005
sitting , 9.6307 , -1.4266 , 0.5304 , 0.0029 , 0.0049 , -0.0014
sitting , 9.6331 , -1.4482 , 0.5208 , 0.0019 , -0.002 , -0.0004
sitting , 9.6115 , -1.4482 , 0.5208 , 0.0019 , -0.001 , -0.002
sitting , 9.6666 , -1.4841 , 0.4729 , 0.0088 , 0.0027 , 0.0087
sitting , 9.6211 , -1.4889 , 0.5088 , 0.0088 , -0.0063 , 0.0236
sitting , 9.6043 , -1.4769 , 0.504 , 0.0088 , 0.0059 , 0.0966
sitting , 9.6187 , -1.4506 , 0.4969 , -0.0002 , -0.026 , -0.019
sitting , 9.6163 , -1.4458 , 0.4945 , 0.004 , 0.0416 , 0.0034
sitting , 9.6043 , -1.4362 , 0.5064 , 0.0019 , 0.0251 , -0.0014
sitting , 9.645 , -1.5033 , 0.4969 , -0.0056 , 0.007 , -0.0494
sitting , 9.5971 , -1.4697 , 0.5424 , 0.0072 , -0.0356 , -0.0307
sitting , 9.6355 , -1.4482 , 0.5017 , 0.0067 , 0.0299 , -0.0004
sitting , 9.6402 , -1.4434 , 0.4993 , 0.0077 , 0.0949 , 0.0193
sitting , 9.6187 , -1.4602 , 0.4825 , 0.004 , 0.0533 , -0.003
sitting , 9.5444 , -1.3787 , 0.4681 , 0.0072 , -0.0281 , -0.0148
sitting , 9.348 , -1.0721 , 0.2693 , 0.0061 , -0.01 , 0.0039
sitting , 9.6115 , -1.441 , 0.413 , 0.0008 , 0.0267 , -0.0041
sitting , 9.5828 , -1.4697 , 0.4442 , -0.0114 , 0.0267 , -0.027
sitting , 9.6714 , -1.5608 , 0.516 , -0.0162 , -0.0452 , -0.0483
sitting , 9.6115 , -1.4194 , 0.5184 , -0.012 , -0.0292 , -0.0259
sitting , 9.657 , -1.3931 , 0.3771 , 0.0003 , 0.0629 , -0.0057
sitting , 9.645 , -1.4123 , 0.3986 , -0.0008 , 0.0699 , 0.0209
sitting , 9.6786 , -1.4362 , 0.5017 , -0.0024 , 0.0523 , 0.0156
sitting , 9.6666 , -1.4338 , 0.6574 , -0.0002 , 0.0198 , 0.0193
sitting , 9.5947 , -1.3835 , 0.528 , 0.0029 , 0.0464 , 0.0071
sitting , 9.6666 , -1.3931 , 0.5328 , 0.0019 , 0.0054 , 0.0124
sitting , 9.6594 , -1.4242 , 0.5136 , 0.0093 , 0.0278 , 0.0071
sitting , 9.657 , -1.3931 , 0.6047 , 0.0051 , -0.0431 , 0.0012
sitting , 9.6474 , -1.3476 , 0.5136 , 0.0051 , -0.0047 , -0.0089
sitting , 9.6067 , -1.2685 , 0.4298 , 0.0072 , -0.0377 , 0.0028
sitting , 9.6546 , -1.1967 , 0.5017 , -0.0013 , -0.0175 , -0.0068
sitting , 9.6187 , -1.3452 , 0.6047 , 0.0051 , 0.031 , 0.0018
sitting , 9.6187 , -1.2925 , 0.6118 , 0.004 , 0.0496 , 0.0034
sitting , 9.6474 , -1.3284 , 0.6502 , 0.0035 , -0.009 , 0.0023
sitting , 9.6259 , -1.3476 , 0.7053 , 0.0051 , 0.0075 , 0.0007
sitting , 9.6331 , -1.314 , 0.6502 , 0.0045 , 0.0059 , 0.0066
sitting , 9.6115 , -1.3739 , 0.6837 , 0.0045 , 0.0123 , 0.0028
sitting , 9.6546 , -1.4027 , 0.7771 , 0.0029 , 0.0054 , -0.0062
sitting , 9.6163 , -1.3548 , 0.6238 , 0.0014 , 0.0091 , -0.0041
sitting , 9.645 , -1.3883 , 0.5256 , 0.0003 , 0.023 , -0.0062
sitting , 9.6043 , -1.314 , 0.5783 , 0.0019 , 0.0107 , -0.0014
sitting , 9.6355 , -1.3691 , 0.5783 , 0.004 , 0.0097 , 0.0066
