ax,ay,az,gx,gy,gz
9.1252 , -0.8852 , 3.4505 , 0.0052 , -0.0067 , -0.0003
9.1851 , -0.8661 , 3.4098 , -0.0001 , 0.0013 , 0.0002
9.0557 , -0.9427 , 3.393 , 0.0015 , 0.0002 , 0.0007
9.0989 , -0.8805 , 3.4649 , 0.0021 , 0.0104 , -0.0009
9.1252 , -0.902 , 3.4697 , 0.0015 , 0.0045 , -0.0014
9.1108 , -0.8996 , 3.4122 , 0.0005 , 0.0002 , -0.0014
9.1468 , -0.9212 , 3.4912 , -0.0038 , -0.0099 , 0.0002
9.1132 , -0.8876 , 3.3666 , 0.0021 , -0.0072 , 0.0023
9.1564 , -0.9284 , 3.4649 , -0.0022 , -0.0051 , -0.0014
9.0629 , -0.9044 , 3.5104 , -0.0043 , -0.0062 , -0.0025
9.0845 , -0.8781 , 3.4265 , 0.0015 , 0.0199 , -0.0003
9.1252 , -0.89 , 3.4577 , 0.0047 , 0.0135 , 0.0002
9.0965 , -0.902 , 3.4313 , 0.0031 , 0.0066 , 0.0007
9.1061 , -0.9332 , 3.4768 , 0.0031 , -0.0056 , 0.0029
9.1013 , -0.9236 , 3.4601 , 0.0031 , -0.0126 , -0.0025
9.1132 , -0.8781 , 3.4433 , -0.0059 , -0.0157 , -0.0009
9.0749 , -0.902 , 3.4433 , -0.0027 , -0.0024 , -0.0014
9.1252 , -0.8757 , 3.4337 , 0.0021 , 0.0162 , 0.0013
9.051 , -0.9116 , 3.496 , 0.0074 , 0.0119 , 0.0007
9.0893 , -0.9116 , 3.4457 , 0.0031 , 0.0098 , -0.0025
9.118 , -0.9188 , 3.4409 , 0.0005 , 0.0024 , -0.0003
9.1324 , -0.9068 , 3.4936 , -0.0033 , -0.0014 , 0.0045
9.1084 , -0.9451 , 3.4505 , -0.0011 , -0.0072 , -0.0035
9.1468 , -0.8948 , 3.4385 , 0.0005 , -0.003 , -0.0014
9.1707 , -0.9164 , 3.4673 , -0.0001 , 0.0082 , 0.0018
9.0701 , -0.9116 , 3.5247 , -0.0049 , 0.005 , 0.0013
9.0845 , -0.8876 , 3.4984 , 0.0058 , 0.0024 , -0.0014
9.1252 , -0.9332 , 3.4625 , 0.0042 , -0.0019 , -0.003
9.0797 , -0.8709 , 3.4768 , 0.0021 , -0.0078 , 0.0002
9.1084 , -0.9499 , 3.4313 , -0.0054 , 0.004 , 0.0034
9.1516 , -0.8589 , 3.4313 , 0.0047 , 0.0034 , -0.0014
9.1396 , -0.8757 , 3.5032 , -0.0001 , 0.0029 , -0.0009
9.1084 , -0.9427 , 3.4409 , -0.0033 , -0.0008 , 0.0034
9.1132 , -0.8852 , 3.4481 , 0.0021 , 0.0093 , -0.0009
9.0869 , -0.9044 , 3.4697 , -0.0006 , 0.0029 , 0.0013
9.1228 , -0.8733 , 3.4074 , 0.001 , 0.0008 , -0.0014
9.13 , -0.9236 , 3.4888 , -0.0011 , 0.0066 , -0.0009
9.1827 , -0.9308 , 3.484 , 0.001 , 0.0013 , 0.0023
9.0629 , -0.9068 , 3.4577 , -0.0006 , 0.0066 , -0.0025
9.0581 , -0.9188 , 3.4433 , -0.0065 , 0.0013 , -0.0003
9.1492 , -0.9308 , 3.4864 , -0.0006 , 0.0093 , -0.0009
9.1516 , -0.8972 , 3.4625 , -0.0038 , 0.0061 , -0.0009
9.13 , -0.9475 , 3.4553 , 0.0068 , 0.0082 , -0.0014
9.1108 , -0.9068 , 3.3906 , -0.0001 , 0.0119 , 0.0023
9.1588 , -0.89 , 3.4529 , 0.0058 , 0.0093 , 0.0029
9.0246 , -0.9212 , 3.4122 , 0.0005 , 0.0013 , 0.0007
9.1061 , -0.926 , 3.4505 , 0.001 , 0.0034 , -0.0051
9.1516 , -0.914 , 3.4361 , -0.0033 , 0.0072 , -0.0019
9.1324 , -0.902 , 3.5176 , -0.0001 , 0.0114 , -0.0009
9.1252 , -0.8541 , 3.4385 , 0.0026 , -0.0051 , -0.0019
9.0917 , -0.926 , 3.508 , 0.0063 , -0.0056 , -0.0025
9.1228 , -0.9116 , 3.472 , -0.0017 , -0.0072 , -0.0009
9.154 , -0.8805 , 3.5056 , -0.0022 , -0.0019 , 0.0002
9.1659 , -0.9236 , 3.4433 , 0.0021 , 0.0013 , -0.0019
9.0965 , -0.9284 , 3.4697 , 0.0026 , 0.0061 , 0.0002
9.0917 , -0.9092 , 3.4625 , 0.0052 , 0.0109 , 0.0029
9.1061 , -0.9092 , 3.3954 , 0.0005 , 0.0029 , 0.0007
9.1204 , -0.9571 , 3.4505 , 0.0036 , -0.0024 , -0.0009
9.0869 , -0.902 , 3.417 , -0.0006 , 0.0056 , 0.0002
9.0965 , -0.9379 , 3.4792 , 0.0021 , -0.003 , -0.0014
9.0917 , -0.9571 , 3.484 , 0.0031 , 0.004 , -0.0046
9.0965 , -0.9523 , 3.4625 , -0.0033 , -0.0056 , -0.0014
9.142 , -0.9236 , 3.4912 , 0.001 , -0.0099 , -0.0009
9.1564 , -0.8805 , 3.4864 , 0.0021 , -0.0008 , 0.0002
9.1252 , -0.9044 , 3.4529 , -0.0006 , -0.0104 , 0.0002
9.1084 , -0.914 , 3.4888 , -0.0022 , 0.0034 , 0.0007
9.1228 , -0.914 , 3.4337 , 0.0031 , 0.0034 , -0.003
9.1468 , -0.9116 , 3.4673 , -0.0011 , 0.0077 , 0.0002
9.1516 , -0.9164 , 3.484 , -0.0011 , -0.0056 , -0.0003
9.0917 , -0.9332 , 3.4673 , 0.0042 , -0.003 , 0.0007
9.0797 , -0.8972 , 3.4385 , -0.0006 , -0.0072 , -0.0014
9.1348 , -0.9379 , 3.4625 , -0.0001 , 0.0024 , 0.0023
9.1276 , -0.9188 , 3.4744 , 0.0005 , -0.0019 , 0.0007
9.1564 , -0.8972 , 3.4625 , 0.0021 , -0.0003 , -0.003
9.1037 , -0.9212 , 3.3882 , -0.0022 , -0.0024 , 0.0002
9.1204 , -0.8733 , 3.4361 , 0.0005 , 0.0018 , 0.0013
9.0941 , -0.9188 , 3.4074 , 0.0015 , 0.0029 , 0.0002
9.1564 , -0.902 , 3.4385 , 0.0047 , -0.0072 , -0.0009
9.1228 , -0.9164 , 3.4864 , -0.0022 , -0.0115 , -0.0009
9.1564 , -0.9044 , 3.4649 , 0.0021 , -0.0083 , -0.0025
9.0773 , -0.9092 , 3.4337 , -0.0011 , -0.0078 , 0.0013
9.142 , -0.8948 , 3.4289 , -0.0049 , -0.0088 , 0.0002
9.1348 , -0.9427 , 3.417 , -0.0011 , -0.0035 , 0.0002
9.1516 , -0.89 , 3.4792 , 0.0042 , 0.004 , 0.0002
9.0893 , -0.9068 , 3.4098 , 0.0015 , -0.0008 , 0.0023
9.0941 , -0.9068 , 3.4146 , 0.0005 , 0.0173 , -0.0009
9.1276 , -0.9236 , 3.4265 , 0.0063 , -0.003 , -0.0025
9.1204 , -0.902 , 3.4529 , -0.0006 , -0.0072 , 0.0013
9.118 , -0.8278 , 3.4529 , -0.0043 , -0.0078 , 0.0018
9.1252 , -0.926 , 3.4984 , 0.001 , -0.0189 , -0.0051
9.154 , -0.9451 , 3.3954 , 0.0031 , -0.0003 , 0.0007
9.1013 , -0.8948 , 3.4433 , 0.001 , -0.0035 , -0.0003
9.0989 , -0.8972 , 3.4217 , 0.0015 , -0.0019 , -0.0014
9.0941 , -0.926 , 3.4361 , -0.0001 , -0.0094 , 0.0023
9.0989 , -0.9068 , 3.4816 , 0.01 , -0.0008 , 0.0007
9.1324 , -0.8924 , 3.4337 , 0.001 , 0.0135 , 0.0002
9.1516 , -0.9284 , 3.4217 , 0.001 , 0.0045 , -0.0009
9.1396 , -0.9044 , 3.4888 , 0.0021 , 0.004 , -0.0003
9.0941 , -0.914 , 3.472 , 0.001 , 0.0061 , 0.0018
9.1084 , -0.89 , 3.496 , 0.001 , 0.0061 , -0.0009
9.0845 , -0.926 , 3.4265 , -0.0011 , -0.0062 , 0.0002
9.1492 , -0.9068 , 3.4888 , -0.0006 , -0.0046 , -0.0009
9.118 , -0.9116 , 3.4361 , -0.0001 , -0.0067 , 0.0013
9.1156 , -0.926 , 3.417 , 0.0036 , 0.0072 , -0.0003
9.1875 , -0.8924 , 3.4385 , 0.0052 , 0.0008 , -0.0009
9.1013 , -0.9427 , 3.4385 , 0.001 , 0.0066 , 0.0007
9.13 , -0.8972 , 3.3978 , -0.0017 , 0.0013 , 0.0002
9.0893 , -0.9188 , 3.4409 , 0.0015 , -0.0056 , 0.0002
9.1372 , -0.9164 , 3.381 , -0.0006 , -0.0104 , 0.0007
9.1013 , -0.9116 , 3.4265 , 0.0026 , 0.0024 , 0.0013
9.1611 , -0.8445 , 3.4313 , 0.0021 , 0.0013 , 0.0002
9.1348 , -0.914 , 3.4026 , -0.0006 , 0.0002 , 0.0002
9.1108 , -0.926 , 3.4337 , 0.0005 , -0.0019 , -0.0003
9.1132 , -0.9116 , 3.3954 , 0.0005 , -0.0067 , 0.0018
9.0965 , -0.9068 , 3.4217 , 0.0026 , 0.0024 , 0.0007
9.1108 , -0.9044 , 3.4193 , -0.0011 , -0.0078 , 0.0007
9.1228 , -0.9188 , 3.4864 , 0.0005 , -0.0014 , 0.0007
9.1372 , -0.9212 , 3.4457 , 0.0026 , 0.004 , -0.0003
9.0581 , -0.8852 , 3.4553 , -0.0006 , -0.0035 , 0.0002
9.0773 , -0.8972 , 3.3978 , 0.0031 , -0.0024 , 0.0002
9.1348 , -0.9188 , 3.4768 , -0.0006 , 0.0034 , -0.0009
9.1468 , -0.926 , 3.4385 , 0.0036 , 0.0066 , -0.0003
9.1731 , -0.902 , 3.4122 , -0.0006 , 0.0056 , -0.0019
