activity,ax,ay,az,gx,gy,gz
standing , 2.37 , -9.5593 , -0.8877 , -0.0008 , 0.0065 , 0.0023
standing , 2.2741 , -9.4922 , -0.9524 , 0.0029 , 0.0049 , 0.0076
standing , 2.2837 , -9.5209 , -0.8877 , 0.0115 , 0.0193 , -0.003
standing , 2.2789 , -9.509 , -0.9045 , 0.0051 , -0.0106 , -0.0052
standing , 2.2765 , -9.5257 , -0.8877 , 0.0067 , 0.0416 , 0.005
standing , 2.3005 , -9.5425 , -0.9093 , 0.0008 , -0.001 , 0.0034
standing , 2.4155 , -9.5353 , -0.847 , 0.0035 , -0.0036 , -0.0036
standing , 2.2765 , -9.4898 , -0.859 , -0.0056 , -0.0148 , 0.0119
standing , 2.3268 , -9.5617 , -0.9045 , 0.0029 , -0.0026 , 0.005
standing , 2.2646 , -9.5425 , -0.9165 , -0.0002 , 0.0182 , 0.0012
standing , 2.267 , -9.4874 , -0.8614 , 0.0141 , 0.0347 , 0.0002
standing , 2.3652 , -9.4994 , -0.8638 , -0.0013 , -0.0473 , -0.0046
standing , 2.3939 , -9.5449 , -0.8662 , 0.0014 , 0.0411 , 0.0023
standing , 2.2622 , -9.5353 , -0.8638 , -0.0045 , 0.0049 , 0.0081
standing , 2.2454 , -9.5186 , -0.8757 , -0.0088 , 0.0038 , 0.0071
standing , 2.3077 , -9.5162 , -0.8949 , 0.0024 , 0.0294 , 0.0044
standing , 2.2119 , -9.5377 , -0.9284 , 0.0008 , 0.0043 , -0.0009
standing , 2.2909 , -9.5593 , -0.8278 , -0.0061 , 0.0187 , 0.0188
standing , 2.3292 , -9.5473 , -0.8973 , 0.0067 , 0.0315 , 0.0023
standing , 2.2214 , -9.5257 , -0.8207 , -0.0029 , -0.0308 , 0.0108
standing , 2.2167 , -9.5209 , -0.823 , -0.0008 , 0.023 , 0.0135
standing , 2.267 , -9.5449 , -0.8757 , 0.0083 , -0.0106 , 0.0055
standing , 2.2143 , -9.5018 , -0.9308 , -0.0008 , -0.0484 , 0.0002
standing , 2.2382 , -9.5545 , -0.9021 , 0.0051 , -0.0052 , 0.0135
standing , 2.3029 , -9.5497 , -0.8398 , 0.0083 , 0.0049 , 0.0034
